iter	Logloss
0	0.6899609067
1	0.6876176216
2	0.6850602349
3	0.6823774141
4	0.6793665462
5	0.676518656
6	0.6743698715
7	0.6708920617
8	0.6685157
9	0.6664170085
10	0.6636955385
11	0.6608229231
12	0.6586480089
13	0.6555600967
14	0.6535094216
15	0.6516517233
16	0.6491657934
17	0.6469477034
18	0.644720306
19	0.6424966883
20	0.6396502622
21	0.6373583997
22	0.6342578634
23	0.6322518133
24	0.6303766056
25	0.6283135155
26	0.6262122843
27	0.6235429092
28	0.6214284264
29	0.6193940356
30	0.6173737031
31	0.6152091572
32	0.6129989255
33	0.6106023951
34	0.6086149301
35	0.6064885702
36	0.6047295638
37	0.6026519374
38	0.6010142866
39	0.5993763371
40	0.5974565043
41	0.5952084601
42	0.5929214381
43	0.5910334569
44	0.5891340766
45	0.5876100875
46	0.5843666973
47	0.5828267226
48	0.5808546306
49	0.578782741
50	0.5768451897
51	0.5752641158
52	0.5732779505
53	0.5717875907
54	0.5695085914
55	0.5675137013
56	0.5657018082
57	0.5642611381
58	0.5628054983
59	0.5611686543
60	0.5588802429
61	0.5574740836
62	0.5557661413
63	0.5541362144
64	0.5526287636
65	0.5511335185
66	0.5491273041
67	0.5471383003
68	0.5458473115
69	0.5442717056
70	0.5432684714
71	0.5415655712
72	0.5396373423
73	0.5378992815
74	0.536452994
75	0.5346154344
76	0.5336033111
77	0.5318588112
78	0.5305691745
79	0.5285377866
80	0.5271418461
81	0.5257447701
82	0.5243574798
83	0.5228554371
84	0.5217271647
85	0.5202327563
86	0.51864729
87	0.5169677781
88	0.5157505544
89	0.5141052395
90	0.5127077378
91	0.5112316679
92	0.51006323
93	0.5090728589
94	0.5079521833
95	0.5067844475
96	0.5054996363
